Title,Contents
Salevis 서버 설치-Tomcat 운영 가이드,"[https://softzion.sharepoint.com/sites/msteams_d48474/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fmsteams%5Fd48474%2FShared%20Documents%2F%EC%A7%80%EC%8B%9D%EA%B3%B5%EC%9C%A0%2FSalevis%20%EA%B0%9C%EB%B0%9C%20%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC%2FTomcat%5F9%2Ex%5F%EC%9A%B4%EC%98%81%EB%A9%94%EB%89%B4%EC%96%BC%2Epdf&parent=%2Fsites%2Fmsteams%5Fd48474%2FShared%20Documents%2F%EC%A7%80%EC%8B%9D%EA%B3%B5%EC%9C%A0%2FSalevis%20%EA%B0%9C%EB%B0%9C%20%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC&p=true&ga=1](https://softzion.sharepoint.com/sites/msteams_d48474/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2Fmsteams%5Fd48474%2FShared%20Documents%2F%EC%A7%80%EC%8B%9D%EA%B3%B5%EC%9C%A0%2FSalevis%20%EA%B0%9C%EB%B0%9C%20%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC%2FTomcat%5F9%2Ex%5F%EC%9A%B4%EC%98%81%EB%A9%94%EB%89%B4%EC%96%BC%2Epdf&parent=%2Fsites%2Fmsteams%5Fd48474%2FShared%20Documents%2F%EC%A7%80%EC%8B%9D%EA%B3%B5%EC%9C%A0%2FSalevis%20%EA%B0%9C%EB%B0%9C%20%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC&p=true&ga=1)
위 링크를 참조해주시기 바랍니다."
Salevis 서버 셋팅 가이드 자료,"Salevis 서버 셋팅 가이드 자료
1. Backend
- WEB : Apache 2.4
- WAS : Tomcat 8.5.70
- Maven : 4.3.17
- Spring F/W : 4.3.17
- 전자정부 F/W : 3.7.0
- JDK : 1.8
- REDIS : 3.2.100
- IDE : Eclipse Oxygen 3a Release (4.7.3a)
2. Frontend
- NPM : 6.1.0
- Maven : 3.2.3
- Gulp : 3.9.1
- Bower : 1.8.4
- Git : 2.14.1
- AngularJS 1.5.11
- IDE : Visual Studio Code 1.33.0
Salevis 서버 설치 정보 (Apache, Tomcat, Redis, 보안설정) 가이드 문서를 공유합니다.
Windows, Linux 서버에 따라서 각기 다르게 구성됩니다.
[Linux 용] ([https://softzion.sharepoint.com/:p:/s/msteams_d48474/EeEJ8zchtixPoBUIH7RmyiABxmM9EC30DRbENhqgiINBNQ?e=XlEfiN](https://softzion.sharepoint.com/:p:/s/msteams_d48474/EeEJ8zchtixPoBUIH7RmyiABxmM9EC30DRbENhqgiINBNQ?e=XlEfiN))
[Windows 용] ([https://softzion.sharepoint.com/:x:/s/msteams_d48474/EdATPtyTm9NEgVWqkxhYwLIBEu5Qvqynf2JONqrK2-3eqA?e=s8yUfb](https://softzion.sharepoint.com/:x:/s/msteams_d48474/EdATPtyTm9NEgVWqkxhYwLIBEu5Qvqynf2JONqrK2-3eqA?e=s8yUfb))
[Tomcat 운영 가이드]
([https://softzion.sharepoint.com/:b:/s/msteams_d48474/EWYm2HxZSvxIm-fEiYPS1JYBCgsHkdslu_Xbj0Muapikew?e=5GXkHK](https://softzion.sharepoint.com/:b:/s/msteams_d48474/EWYm2HxZSvxIm-fEiYPS1JYBCgsHkdslu_Xbj0Muapikew?e=5GXkHK))
---
KISA에서 제공하는 보안 가이드 입니다.
Web, was서버 설치후 보안 체크시 활용하면 좋습니다.
[https://softzion.sharepoint.com/:b:/s/msteams_d48474/EVC_d-z6J8lJu-kiVjy8t8sBPTQXPEttL2pKZWokJHLw4A](https://softzion.sharepoint.com/:b:/s/msteams_d48474/EVC_d-z6J8lJu-kiVjy8t8sBPTQXPEttL2pKZWokJHLw4A)"
Salevis 서버 셋팅을 위한 가이드 자료,"KISA에서 제공하는 보안 가이드 입니다.
Web, was서버 설치후 보안 체크시 활용하면 좋습니다.
[https://softzion.sharepoint.com/:b:/s/msteams_d48474/EVC_d-z6J8lJu-kiVjy8t8sBPTQXPEttL2pKZWokJHLw4A](https://softzion.sharepoint.com/:b:/s/msteams_d48474/EVC_d-z6J8lJu-kiVjy8t8sBPTQXPEttL2pKZWokJHLw4A)
---
Salevis 서버 셋팅 가이드 자료
1. Backend
- WEB : Apache 2.4
- WAS : Tomcat 8.5.70
- Maven : 4.3.17
- Spring F/W : 4.3.17
- 전자정부 F/W : 3.7.0
- JDK : 1.8
- REDIS : 3.2.100
- IDE : Eclipse Oxygen 3a Release (4.7.3a)
2. Frontend
- NPM : 6.1.0
- Maven : 3.2.3
- Gulp : 3.9.1
- Bower : 1.8.4
- Git : 2.14.1
- AngularJS 1.5.11
- IDE : Visual Studio Code 1.33.0
Salevis 서버 설치 정보 (Apache, Tomcat, Redis, 보안설정) 가이드 문서를 공유합니다.
Windows, Linux 서버에 따라서 각기 다르게 구성됩니다.
---
[Linux 용] ([https://softzion.sharepoint.com/:p:/s/msteams_d48474/EeEJ8zchtixPoBUIH7RmyiABxmM9EC30DRbENhqgiINBNQ?e=XlEfiN](https://softzion.sharepoint.com/:p:/s/msteams_d48474/EeEJ8zchtixPoBUIH7RmyiABxmM9EC30DRbENhqgiINBNQ?e=XlEfiN))
[Windows 용] ([https://softzion.sharepoint.com/:x:/s/msteams_d48474/EdATPtyTm9NEgVWqkxhYwLIBEu5Qvqynf2JONqrK2-3eqA?e=s8yUfb](https://softzion.sharepoint.com/:x:/s/msteams_d48474/EdATPtyTm9NEgVWqkxhYwLIBEu5Qvqynf2JONqrK2-3eqA?e=s8yUfb))
[Tomcat 운영 가이드]
([https://softzion.sharepoint.com/:b:/s/msteams_d48474/EWYm2HxZSvxIm-fEiYPS1JYBCgsHkdslu_Xbj0Muapikew?e=5GXkHK](https://softzion.sharepoint.com/:b:/s/msteams_d48474/EWYm2HxZSvxIm-fEiYPS1JYBCgsHkdslu_Xbj0Muapikew?e=5GXkHK))"
servlet-mapping 이 적용되지 않을 때,"servlet-mapping 에 url-pattern을 추가하여 로컬에서는 정상 동작을 하였는데,
운영에서 제대로 반영되지 않았을 경우
해당 서버의 아파치에 url-patteren 추가해야함
vi /etc/httpd/conf.d/httpd-vhost.conf
ProxyPassMatch ^/(**.*\.pattern**)$ balancer://tomcat
systemctl restart httpd"
Softzion Git 관리 가이드,"Softzion Git 관리 가이드 - 2023/11/27 , 이상목 연구원 작성
[https://softzion.sharepoint.com/:p:/s/msteams_d48474/EbzcgzM2VZBPqZ0qVrAY8lMBO-y9CMW0bBSkF_1klt3i0w?e=CN49Vx](https://softzion.sharepoint.com/:p:/s/msteams_d48474/EbzcgzM2VZBPqZ0qVrAY8lMBO-y9CMW0bBSkF_1klt3i0w?e=CN49Vx)"
Sparrow 클라우드의 정적/동적 분석,"| 동적 / https://sparrowfasoo.com/kr/product/dast/ | 정적 / https://sparrowfasoo.com/kr/product/sast/ |
| --- | --- |
| 웹 어플리케이션 취약점 분석 | 소스코드 보안 취약점 점검 |
| 대표 URL로부터 포함된 하위 경로들을 자동으로 수집, 보안 취약점을 검출함. | 다양한 프로그래밍 언어와 프레임워크를 지원, 검출된 취약점의 위치와 실제 코드에 대한 수정 가이드를 제공함. |
| 웹 주소를 입력하여 점검 진행 | 소스코드 압축파일을 업로드하여 점검 진행 |
| 낫띵 | 압축파일 크기에 제한이 있음 |
| 위시드마인드 기준 평균 6.5시간 소요 | 위시드마인드 기준 평균 10분 소요 |
로그인 계정 안내 받으셨다면, **[여기](https://cloud.sparrowfasoo.com/pages/landing/ko)**에서 로그인 하시면 됩니다.
스패로우 클라우드는 **무료계정**도 제공하고 있으니, 개인계정을 신청하셔서 **뭘 10회 무료 점검**도 하실 수 있습니다.
![https://stackoverflowteams.com/c/softzion/images/s/6dbef952-5a0c-4015-9559-f3ca03718228.png](https://stackoverflowteams.com/c/softzion/images/s/6dbef952-5a0c-4015-9559-f3ca03718228.png)"
SPF 등록 가이드,"스팸 메일 인식율을 줄이기 위해서 메일서버에 SPF 등록을 위한 가이드 자료
[https://helpdesk.midasinsight.com/hc/ko/articles/900000287723--%EA%B0%80%EC%9D%B4%EB%93%9C-SPF-%EB%93%B1%EB%A1%9D-%EA%B0%80%EC%9D%B4%EB%93%9C](https://helpdesk.midasinsight.com/hc/ko/articles/900000287723--%EA%B0%80%EC%9D%B4%EB%93%9C-SPF-%EB%93%B1%EB%A1%9D-%EA%B0%80%EC%9D%B4%EB%93%9C)"
SQL - LEFT JOIN 사용시 주의,"```r
SELECT
...
FROM
campaignimplcustomer C LEFT JOIN tenantcustomer T ON C.CustId = T.CustId
WHERE
C.TenantId = CONV( #{srchTenantId}, 36, 10 ) AND T.TcId = CONV(#{keyId}, 36, 10)
와 같이 조건문을 사용하면 tenantcustomer 에 CustId 가 없는 항목이 SELECT 가 되지 않으므로 LEFT JOIN 의 의미가 없으므로 반드시 아래와 같이 사용해야 됩니다.
SELECT
...
FROM
campaignimplcustomer C LEFT JOIN tenantcustomer T ON C.CustId = T.CustId AND T.TcId = CONV(#{keyId}, 36, 10)
WHERE
C.TenantId = CONV( #{srchTenantId}, 36, 10 )
```"
SQL Server 성능 튜닝,"[https://towardsdev.com/sql-server-performance-tuning-all-methods-1694c12b5fa](https://towardsdev.com/sql-server-performance-tuning-all-methods-1694c12b5fa)
번역 자료
[https://softzion.sharepoint.com/:b:/s/msteams_d48474/ETe8cGU_APhGsZ9Uu7oCyXYBEGriQHXF95XNyq-CovX0-g?e=512KJE](https://softzion.sharepoint.com/:b:/s/msteams_d48474/ETe8cGU_APhGsZ9Uu7oCyXYBEGriQHXF95XNyq-CovX0-g?e=512KJE)
SQL Server 성능 튜닝: 이 문서에서는 SQL Server 데이터베이스 및 쿼리의 성능을 개선하기 위한 다양한 방법, 팁 및 쿼리를 제공합니다.
실행 계획: 이 문서에서는 실행 계획이 무엇인지, 실행 계획을 사용하여 누락된 인덱스를 식별하고 쿼리를 최적화하는 방법, 누락된 인덱스 세부 정보 옵션을 사용하여 인덱스를 생성하는 방법에 대해 설명합니다.
통계 및 확장 이벤트: 이 문서에서는 데이터베이스의 통계를 모니터링 및 업데이트하고 쿼리 성능과 관련된 이벤트를 캡처하기 위해 set statistics io on 문, EXEC sp_updatestats 명령 및 확장 이벤트 기능을 사용하는 방법을 보여 줍니다.
DBCC 명령: 이 문서에서는 데이터베이스의 무결성, 공간 사용량 및 메모리 상태를 확인하는 데 사용할 수 있는 몇 가지 DBCC 명령을 소개하고 다양한 옵션과 함께 사용하는 방법에 대한 예제를 제공합니다.
모범 사례 및 도구: 이 문서에는 신중한 인덱싱, 루프 및 하위 쿼리 피하기, 데이터와 로그 파일 분리하기, SQL Server 버전 업데이트하기 등 SQL Server 성능 튜닝을 위한 몇 가지 모범 사례가 나와 있습니다. 또한 서버 및 데이터베이스의 성능을 측정하고 분석하는 데 사용할 수 있는 몇 가지 도구(예: 성능 모니터, 활동 모니터 및 SQL Server 프로파일러)에 대해서도 언급하고 있습니다."
Tomcat 구동이 느린 경우,"Tomcat 구동 시,
아래와 같은 메시지가 뜨면서 느리게 뜰때,
Creation of SecureRandom instance for session ID generation using [SHA1PRNG]
![Untitled](Tomcat%20%E1%84%80%E1%85%AE%E1%84%83%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B5%20%E1%84%82%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%20%E1%84%80%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AE%2008163aaf7a1646a99a137afac509bde6/Untitled.png)
-Djava.security.egd=file:/dev/./urandom
빨간색 부분 을 추가해주면 훨씬 빨라집니다.
난수를 생성하는 부분에서 오래 걸리는 부분이라고 합니다."
Troubleshooting - 문제해결-footable 문제,"angularjs 프레임워크를 사용할 때, 간혹 권한관리 기능에서 권한목록이 안 나오는 경우가 있습니다.
이때, table 의 class 에서 footable 을 삭제하세요."
Troubleshooting - 문제해결-gulp serve:dist 시 FATAL ERROR: CALL_AND_RETRY_LAST Allocation failed - JavaScript heap out of memory,"node 에서 처리할 메모리가 과다하게 초과함
gulp serve:dist --max-old-space-size=8192"
Troubleshooting - 문제해결-백엔드프레임워크 pom.xml 수정사항,"log4j 의 버전 2.8.2 을 2.17.1
- > 서버시작할 때 log4j 오류나는 문제 해결
```
<plugins>
<plugin>
<groupId>org.apache.maven.plugins</groupId>
<artifactId>maven-war-plugin</artifactId>
<version>3.3.1</version>
</plugin>
</plugins>
```
- > maven install 시 오류 나는 문제 해결"
TTA 의 V&V 시험 관련,"# **접수 및 결제 절차**
1. TTA 한국정보통신기술협회 사이트 ( [https://sw.tta.or.kr/](https://sw.tta.or.kr/) )에서
""시험인증 신청"" > ""확인 및 검증(V&V) 시험"" 접수.
2. 접수번호 발급, 서류 담당자 배정 및 시험 합의서 양식 초안 받음.
3. 사업계획서 > ""성능지표 목표 및 측정방법 "" 표에 명시된 내용으로 시험 합의서 초안을 우선 작성 후, 서류 담당자와의 전화 상담 및 메일 피드백을 통해 거듭 수정.
1. 빠르면 1주, 지연시 1개월 가량 소요됨.
2. 시험 합의서 초기 상담 준비 내용 : 시험 합의서 초안 (시험환경, 시험절차서 등)
3. 상담 전 시험 합의서 초안 작성 > 상담 시 시험 환경 및 절차에 대한 협의 목적.
4. 합의서 초안 생략 상담 > 시험 절차 및 방법에만 대한 안내 받음.
4. 최종 시험합의 완료 후 시험 수수료 산정 및 납부.
# **최종 시험 합의서 제출 및 결제 이후**
1. 시험 담당자 배정, 현장형 / 내방형 진단 시험 방식 선택 및 일정 확정
2. 시험 환경 구성 필수 시: 여분의 설비로 준비 (eg. 개발자 노트북)
3. 시험 당일 방문, 시험 환경 및 코드 제품 시연 (약 1시간 소요 예상)
4. 방문 후 약 1-2주 내로 시험 담당자의 결과보고서 / 시험성적서 초안 수령, 피드백 후 완성본 수령.
### TTA 결과보고서 발급 이후
""기업지원플러스 G48"" 에서 시험검사 발급승인 안내 알림 메일이 오게 됩니다."
UTC to Local 설정 ,"DATETIME 에 대한 UTC 처리
1. DB 서버 UTC 설정
regdate 는 datetime 사용
2. WAS 서버는 system 의 timezone 설정을 따라 감. 운영서버는 통상 UTC 설정을 하고 사용하는 것이 바람직
3. 사용자개발환경 JVM에 UTC 설정 적용
eclipse 에서
Run --> Run configuration --> Apache tomcat --> Tomcat Server --> VM arguments 에
-Duser.timezone=UTC
을 추가
Intellij Idea는 Run메뉴>Edit Configuration메뉴>Server Tab의 VM Options에 추가
-Duser.timezone=UTC
4. html 파일
<span>{{vc.data.RegDate | utcToLocal:'yyyy-MM-dd h:mm a'}}</span>
5. js 파일
console.log($filter('utcToLocal')(vm.data.RegDate,'yyyy-MM-dd h:mm a'));
6. mapper 의 select 에서는 값을 포맷하지 않고 select 함
select RegDate from 테이블명
7. mapper 의 insert 에서는 NOW 를 사용하면 UTC 시간으로 insert 됨
8. 메타정보관리에서
regdate 의 논리데이터유형 = 날짜형
DATE 타입에 대한 UTC 처리 (birthday 등)
1. DB 서버 UTC 설정
birthday 는 date 사용
2. mapper 의 select 에서는 값을 포맷하여 select 함
select DATE_FORMAT(BirthDay, '%Y-%m-%d') AS BirthDay from 테이블명
3. mapper 의 insert 에서는 YYYY-MM-DD 형태의 string 형으로 insert 함
4. html, js 파일에서 filter 필요 없이 string 그대로 출력
5. 메타정보관리에서
birthday 의 논리데이터유형 = 문자형
검색을 위해 FROM ~ TO 처리
1. html 파일
<input type=""text"" ng-model=""vc.RegDateFrom"" ng-change=""vc.srch.RegDateFrom = (vc.RegDateFrom | date: 'yyyy-MM-dd')"">
<input type=""text"" ng-model=""vc.RegDateTo"" ng-change=""vc.srch.RegDateTo = (vc.RegDateTo | date: 'yyyy-MM-dd')"">
2. js 파일
getList() 함수와 getListCnt() 함수에 동일하게 아래와 같이 적용
var data = angular.copy(vm.srch);
data.RegDateFrom = $filter('localToUtc')(data.RegDateFrom, 'from');
data.RegDateTo = $filter('localToUtc')(data.RegDateTo, 'to');
=> 2019-09-16 ~ 2019-09-16 일때 2019-09-15 15:00:00 ~ 2019-09-16 14:59:59 로 변환됨
3. mapper 의 select 에서는
WHERE RegDate <![CDATA[>=]]> STR_TO_DATE(#{RegDateFrom}, '%Y-%m-%d %H:%i:%s')
AND RegDate <![CDATA[<=]]> STR_TO_DATE(#{RegDateTo}, '%Y-%m-%d %H:%i:%s')"
WeSeed CRM - slf4j does not exist,"IntelJ에서 maven 빌드 시
slf4j does not exist 와 같은 에러가 발생하는 경우 해결법입니다. !
에러 발생 이유 :
기존 pom.xml 에 등록되어 있는 dependency는 Angular12 버전에 맞춰져 있어
Angular16 버전인 WeSeed-CRM 에서는 dependency로 등록되어 있는 라이브러리를
찾지 못하여 발생하는 이슈입니다.
해결법 :
1. 자사 .m2 파일을 저장해놓은 디렉터리로 이동
- ex) C:\Users\사용자\.m2
2. 새 디렉터리 생성 - 기존 repository만 존재
![Untitled](WeSeed%20CRM%20-%20slf4j%20does%20not%20exist%20073c226a69f94187a294aafe5e35643c/Untitled.png)
1. intelJ 설정에서 maven local path 지정
![Untitled](WeSeed%20CRM%20-%20slf4j%20does%20not%20exist%20073c226a69f94187a294aafe5e35643c/Untitled%201.png)
- Local repository → override 클릭 후 새로 생성한 repository로 path 변경
1. 변경이 완료 되었다면 소스와 문서 다운로드
![Untitled](WeSeed%20CRM%20-%20slf4j%20does%20not%20exist%20073c226a69f94187a294aafe5e35643c/Untitled%202.png)
1. 다운이 완료되었다면 Maven Project Reload
![Untitled](WeSeed%20CRM%20-%20slf4j%20does%20not%20exist%20073c226a69f94187a294aafe5e35643c/Untitled%203.png)
2. was 폴더 lib 디렉터리 이동
- ex) C:\Users\사용자\workspace\03_project\weseedcrm\weseedcrm-was\target\weseed-api-service-1.0.0\WEB-INF\lib
3. lib 디렉터리에 파일 덮어쓰기
- 아래 폴더 압축 풀어서 lib에 덮어쓰기 해주세요 ~
[lib.zip](WeSeed%20CRM%20-%20slf4j%20does%20not%20exist%20073c226a69f94187a294aafe5e35643c/lib.zip)
4. was - tomcat 실행하시면 빌드 잘 됩니다."
WESEED Mind 화상통화 개발 현황 및 SendBird API 연동 가이드,"- **홈페이지** : [https://sendbird.com](https://sendbird.com/docs/calls/v1/javascript/getting-started/make-first-call)
- **계정 문의** : 서비스 기획팀 김재영 과장
- **연동 개발** : 개발3팀 권태영 책임
- **일반 문의** : [jd.kim@sendbird.com](http://gw.softzion.com/mai/#)
- **기술 문의** : [support@sendbird.com](http://gw.softzion.com/mai/#)
---
## **개요**
WESEED Mind의 비대면 상담 용도로 화상 통화 기능이 필요.
화상통화 API 제공 업체로 Azure 와 SendBird를 비교했는데 비용과 레코딩 파일 저장 기간의
압도적 우세로 SendBird 선정.
## **SendBird DirectCall VS GroupCall**
본사 AI 연구개발 용도 녹취 파일이 필수로 필요하여 통화 종료 시 브라우저로 다운되는
DirectCall 방식보다 클라우드 서버에 저장되는 GroupCall API로 개발 진행.
기본 해상도는 1280x720p에 24fps로 별도 설정은 불가하고 네트워크 상황에 따라 자동 조절.
GroupCall 진행 시 SendBird 홈페이지에서 Cloud 녹취 파일 저장 On, Off 설정 가능.
1. DirectCall 특징
- 1:1 통화에 특화 (Peer to Peer)
- 비용이 저렴
- 녹취 파일이 통화 종료 후 브라우저에 파일 다운로드 형식으로 저장
- 내담자가 연결 되는 순간 즉시 양쪽 비디오, 마이크 활성화
2. GroupCall 특징
- 최대 6명 다자간 영상 통화 및 최대 100명 다자간 음성 통화 지원
- DirectCall에 비해 비용이 2배 이상
- 녹취파일이 클라우드 서버에 존재하고 2주간 다운로드(API 제공) 가능,
다운로드에 메가바이트 당 비용이 발생 하지만 저렴한 편임
- 방을 개설하면 상담사 비디오, 마이크가 활성화 되어 내담자 접속까지 준비 가능
## WESEED Mind 비대면 상담 구현 현황
GroupCall API는 다자간 통화 용도이지만 Mind 비대면 상담은 1:1로 진행되기 때문에
1:1에 맞추어 개발이 완료된 상태이고 향후 다자간 통화가 필요할 경우
다자간 통화 구현 컴포넌트에 remoteParticipantEntered 이벤트를 등록하여 참여자 입장 시
RemoteView를 추가하는 방식으로 진행하면 됨. 현재 1:1 비대면 상담 로직은 아래와 같음.
- 예약 시간 10분 전부터 비대면 상담 시작 가능 -> 상담사 방 개설
- > 내담자에게 Push 알림 발송 -> 내담자가 알림 클릭 시 방 입장 -> 상담 종료
## Source 설명
- src/app/@core/service/video-group-call.service
: GroupCall API 연동을 직접적으로 수행하는 Service
1. `SendBirdCall.init(appId)`
: API 연동 시 최초 호출 되는 Init 함수 appId는 SendBird 홈페이지 로그인 후 확인
2. `authenticate(userId)`
: SendBirdCall 권한 생성 함수. 1, 2번 항목이 수행 되어야 Room 생성 가능
3. `createRoom(type: string, localVideoView?: HTMLMediaElement, audioView?: HTMLAudioElement)`
: Room 생성, type (video, audio)에 따라 화상, 음성 통화 방이 생성 되고
영상통화 일 경우 local video Element를 전달하면 영상이 자동 Play 되고
음성통화 일 경우 audio Element를 전달하면 됨.
4. `enterRoom(type: string, roomId: string, localVideoView?: HTMLMediaElement, remoteView?: HTMLMediaElement)`
: Room 입장, roomId는 Room 생성 시 ScheduleCounsel 테이블 VideoCallRoomId
Column에 저장되고 Push 알림으로 전송된 SchCnslId를 이용하여 조회.
영상통화 일 경우 local, remote video Element를 전달하면 영상이 자동 Play 되고 음성통화 일 경우 audio Element를 전달하면 됨.
5. `setRoomEvent()`
: remoteParticipantEntered - 참여자 입장 시 이벤트,
remoteParticipantExited - 참여자 퇴장 시 이벤트,
remoteAudioSettingsChanged - 참여자 오디오 변경 시 이벤트,
remoteVideoSettingsChanged - 참여자 비디오 변경 시 이벤트
6. `setMic(enable:boolean)`
: 마이크 활성화 설정
7. `setCam(enable:boolean)`
: 카메라 활성화 설정
8. `exitRoom()`
: Room 참여자가 종료 버튼 클릭 시 Room 나가기
9. `dispose()`
: Room 개설자가 종료 버튼 클릭 시 Room 삭제
## Mobile Push 알림
방 개설 시 Consulting.updateVideoCallRoomId Update 문이 실행 될 때 Notification이
자동 감지해서 selectKey 값을 참조하여 Push 발송.
Push 관련된 자세한 사항은 임선규 연구원에게 문의."
Wiki-Backend 개발 가이드-AJP 설정,"[https://www.lesstif.com/system-admin/apache-httpd-tomcat-connector-mod_jk-reverse-proxy-mod_proxy-12943367.html](https://www.lesstif.com/system-admin/apache-httpd-tomcat-connector-mod_jk-reverse-proxy-mod_proxy-12943367.html)
AJP 설정"
Wiki-Backend 개발 가이드-Apache 1개에 Tomcat 2개 띄우기,"```xml
Apach 설정
{HTTP_HOME}/conf/httpd.conf
<VirtualHost *:80>
ServerAdmin abc@abc.com
DocumentRoot ""/home/www/www.abc.com""         ServerName www.abc.com
ServerAlias www.abc.co.kr www.abc.net
ErrorLog ""/var/log/apache2/www.abc.com-error.log""
CustomLog ""/var/log/apache2/www.abc.com-access.log"" common
JkMount /*.jsp worker1
JkMount /servlet/* worker1
JkMount /*.action worker1
JkMount /*/*.action worker1
</VirtualHost>
{HTTP_HOME}/conf/worker.properties
: worker의 port를 서로 다르게 설정하고 뒤에 설정할 Tomcat의 설정 File인 server.xml의 Connector port 가 된다.
workers.tomcat_home=/usr/local/tomcat5523, /usr/local/tomcat5523-web workers.java_home=/usr/local/java_1.6
ps=/
worker.list=worker1, worker2
# mod_jk for 1st web
worker.worker1.port=18009
worker.worker1.host=localhost
worker.worker1.type=ajp13
worker.worker1.lbfactor=1
# mod_jk for 2nd web
worker.worker2.port=28009
worker.worker2.host=localhost
worker.worker2.type=ajp13
worker.worker2.lbfactor=1
Tomcat 설정 : 2개의 Tomcat 설정 File인 server.xml의 port를 각각 다르게 설정한다.
{CATALINA_HOME}/conf/server.xml - 1st Tomcat
<Server port=""18005"" shutdown=""SHUTDOWN"">
```"
"Wiki-Backend 개발 가이드-Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=’","```sql
select ufnGetMainPageForUser(0, 11, 'app.dashboard');
와 같이 ufnGetMainPageForUser 를 호출하면
Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '='
에러가 발생합니다.
원인은 = 로 비교할 필드가 collations character set 이 안 맞기 때문에 발생하는 문제라는데,
104 라인에 아래 문장에서 발생합니다.
WHERE T.pageUrl2 = vMainPage;
그런데, T.pageUrl2 는 screen.PageUrl 로 COLLATE utf8mb4_unicode_ci 속성이 지정되어 있는데도 이런 오류가 발생하는 경우
WHERE T.pageUrl2 COLLATE utf8mb4_general_ci = vMainPage;
와 같이 수정하여 문제는 발생하지 않음.
```"
Wiki-Backend 개발 가이드-JAVA 벡엔드 동일 API 반복호출 방지 방안,"JAVA 백엔드에서
모의해킹을 통한 동일 API 반복호출시 동일데이터가 저장되는 문제에 관하여
SessionInterceptorApi.preHandle() 에 다음코드를 추가해 보았습니다.
문제가 없을지 다른 코드리뷰를 해 주면 좋겠습니다.
예상 되는 문제점은 다음과 같은데, 더 찾아주면 좋겠습니다.
1. getRemoteAddr() 은 요청자 아이피인데, 동일 네트워크 망에서 다른 PC에서 오는 경우 같은 아이피로 간주될 수 있습니다.
2. request.getQueryString() 은 query 스트링인데, query 스트링을 계속 바꿔가면서 호출하는 경우는 다른 API 호출로 간주되므로 막을 수 없음
3. 같은 페이지에서 동일한 api 를 호출하는 경우 문제 발생하므로, query 스트링을 다르게 지정해야 됨
예를 들어 한페이지에 여러 commoncode 호출시 각각의 commoncode 에 query 스트링 다르게 부여해야 됨
4. userCacheAccessor 를 지우는 과정이 없기 때문에 무한정 적제될 우려 있음, 스케줄러로 초기화 필요
if (StringUtils.equals(request.getMethod(), ""OPTIONS"")) { // preflight 때문에 넣어 주어야 됩니다.
logger.debug(""request OPTIONS"");
return true;
}
if (request.getRequestURI().indexOf(""/insert/"") == 0 || request.getRequestURI().indexOf(""/update/"") == 0 || request.getRequestURI().indexOf(""/delete/"") == 0) {
String remote = request.getRemoteAddr();
String url = remote + ""--"" + request.getRequestURI();
Date d = (Date)userCacheAccessor.getUserModelerProcData(""CHECK-URL"", url, Date.class);
Date now = new Date();
if (d != null) {
long sDiff = (now.getTime() - d.getTime()) / 1000;
if (sDiff < 3) { // 3초이내에 호출
logger.error(""same request is called in 3 seconds:"" + url);
return false;
}
}
userCacheAccessor.setUserModelerProcData(""CHECK-URL"", url, now);
}"
Wiki-Backend 개발 가이드-Java 소스코드에서 MyBatis interceptor 의 의한 암호화,"```xml
<!-- sql-config.xml -->
<configuration>
<!-- 데이터베이스 상에서 암호화 사용할 때 옵션을 활성화 함 -->
<plugins>
<plugin interceptor=""egovframework.softzion.salevis.interceptor.Encryption""/>
</plugins>
</configuration>
Encryption.java 코드에 encryption, decryption 코드 처리함.
select 할 때는 decryption 코드가 동작하고, insert/update/delete 할 때는 encryption 코드가 동작함.
```"
